auteur;titel;datum;;;
Ernest Hemingway;For whom the bell tolls;3-1-2025;;;
John le Carré;Tinker, tailor, soldier, spy;1-1-2025;;;
Fernando Pessoa;Boek de rusteloosheid;27-12-2024;;;
Stefan Zweig;De wereld van gisteren;21-12-2024;;;
Jan Donkers;Rock-'n-Roll voorbij de midlifecrisis;21-12-2024;;;
Benjamin Mossr;Sontag;20-12-2024;;;
Olga Tokarczuk;De rustelozen;18-12-2024;;;
Mary Kubica;De onbekende vrouw;16-12-2024;;;
Haruki Murakami;Norwegian wood;14-12-2024;;;
Mark Bowden;De jacht op Pablo Escobar;12-12-2024;;;
Pascal Mercier;Nachttrein naar Lissabon;6-12-2024;;;
Peter Bieri;Hoe willen wij leven;5-12-2024;;;
Stephen Fry;Mythos;30-11-2024;;;
Iris Murdoch;The italian girl;29-11-2024;;;
Jeroen Brouwers;Kroniek van een karakter;25-11-2024;;;
Joep Dohmen;Iemand zijn;13-11-2024;;;
Rüdiger Safranski;Eenling zijn;9-11-2024;;;
Anton Tsjechow;De dame met het hondje en andere verhalen;7-11-2024;;;
Ivan Toergenjev;Vaders en zonen;6-11-2024;;;
Maxim Februari;De literaire kring;3-11-2024;;;
Maxim Februari;Klont;1-11-2024;;;
Willem Melching e.a.;Na de catastrofe;29-10-2024;;;
Willem Melching;Hitler;25-10-2024;;;
Willem Melching;De zelfdenker;20-10-2024;;;
Karel van het Reve;Karel van het Reve voor beginners;19-10-2024;;;
Maxim Februari;Doe zelf normaal;18-10-2024;;;
Yvonne Keuls;Gemmetje Victoria;18-10-2024;;;
Kim Faber / Janni Pedersen;Stikdonker;14-10-2024;;;
Anya Niewierra;Het dossier;13-10-2024;;;
Safae el Khannoussi;Oroppa;11-10-2024;;;
Leo Verheul;De kunst van het mislukken;8-10-2024;;;
Thomas Rueb;Laura H.;3-10-2024;;;
Johan Theorin;Nachtstorm;29-9-2024;;;
Nick Lloyd;Het westelijke front;24-9-2024;;;
Patrick Wyman;De doorbraak;17-9-2024;;;
Tom Jan Meeus;Duidelijkheid;16-9-2024;;;
Kjell Eriksson;De stenen kist;15-9-2024;;;
Jeroen Theinissen;Jouw huid;12-9-2024;;;
Teun van de Keuken;De supermarkt survivalgids;10-9-2024;;;
Nelson Mandela;The long walk to freedom;27-8-2024;;;
David Baldacci;Staatsgeheim;22-8-2024;;;
Patrick Leigh Fermor;A Time of Gifts;21-8-2024;;;
Hendrik Vos;Dit is Europa;16-8-2024;;;
Jeroen Theunissen;$lk=$ carthograaf;14-8-2024;;;
Haruki Murakami;Kafka on the shore;10-8-2024;;;
Hartmut Rosa;Onbeschikbaarheid;9-8-2024;;;
Terry Hayes;I am pilgrim;3-8-2024;;;
Ad van Liempt;Gemmeker;30-7-2024;;;
Joseph Roth;Radetzky Mars;29-7-2024;;;
Ad van Liempt;Aan de Maliebaan;24-7-2024;;;
Michiel Vos;Vos in de USA;17-7-2024;;;
Paolo Cognetti;The eight mountains;14-7-2024;;;
Jonathan Holslag;World Politics since 1989;14-7-2024;;;
Kara Swisher;Burn Book;8-7-2024;;;
Tim Voors;Noorderlichtlopers;3-7-2024;;;
Teun van der Keuken;De mens is een plofkip;2-7-2024;;;
Eva Vriend;Het eiland van Anna;26-6-2024;;;
Jolande Withuis;Juliana;23-6-2024;;;
Murat Isik;Wees Onzichtbaar;15-6-2024;;;
Sasha Filipenko;Red Crosses;15-6-2024;;;
Adler-Olsen;Één raam, geen sleutel;12-6-2024;;;
Hugo Claus;Het verdriet van België;10-6-2024;;;
Frank Nellen;De onzichtbaren;31-5-2024;;;
Cees Fasseur;Wilhelmina krijgshaftig in een vormeloze jas;16-5-2024;;;
Cees Fasseur;Wilhelmina - de jonge koningin;9-5-2024;;;
Hector Garcia;Ikigai;8-5-2024;;;
Niña Weijersc;Kamers anti-kamers;7-5-2024;;;
Sacha Bronwasser;Luister;5-5-2024;;;
Robert Pirsig;Zen en de kunst van het motoronderhoud;1-5-2024;;;
Tim Marshall;Prisoners of geography;30-4-2024;;;
Henry David Thoreau;Walden;29-4-2024;;;
Floortje Dessing;Heimwee moet je koesteren;27-4-2024;;;
Sacha Bronwasser;Niets is gelogen;26-4-2024;;;
Eva Vriend;Eens ging de zee hier tekeer;18-4-2024;;;
Matthew Blake;Anna O.;13-4-2024;;;
Peter Attia;Outlive;9-4-2024;;;
Tom Rob Smith;Agent 6;2-4-2024;;;
James McBride;The good lord bird;1-4-2024;;;
George Lakoff;Don't think of an elephant;31-3-2024;;;
Malcolm Gladwell;Talking to strangers;28-3-2024;;;
Dik van der Meulen;Koning Willem III;17-3-2024;;;
Jeroen van Zanten;Koning Willem II;9-3-2024;;;
Piet Koch;Koning Willem I;1-3-2024;;;
David Grann;Killers of the flower moon;23-2-2024;;;
John Hart;Weg zonder genade;17-2-2024;;;
Michael Wolff;The Fall;11-2-2024;;;
Stephen King;Black House;10-2-2024;;;
Kim Zetter;Countdown to zero day: Stuxnet and the launch of the worlds' first digital weapon.;6-2-2024;;;
Andy Greenberg;Sandworm;2-2-2024;;;
Colleen Hoover;Too late;29-1-2024;;;
Elena Ferrante;Those who leave and those who stay;27-1-2024;;;
Mathijs Deen;De duiker;25-1-2024;;;
Hella Haasse;Het woud der verwachting;14-1-2024;;;
Jung Chang;Wilde zwanen;4-1-2024;;;
Hella Haasse;De Wegen der Verbeelding;3-1-2024;;;
Anya Niewierra;De Camino;2-1-2024;;;
Craig Unger;House of Trump, house op Putin;30-12-2023;;;
Harry Mulisch;De ontdekking van de hemel;25-12-2023;;;
Yvonne Keuls;Het verrotte leven van Floortje Bloem;24-12-2023;;;
Yvonne Keuls;De moeder van in David S.;23-12-2023;;;
Magda Hellinger;De nazi's kenden me bij naam;22-12-2023;;;
Mark Halperin;Game Change;16-12-2023;;;
Annejet van der Zijl;Fortuna's kinderen;11-12-2023;;;
Guzel Jachima;Wolgakinderen;7-12-2023;;;
Paul Schenderling;Er is leven na de groei;6-12-2023;;;
Tom Rob Smith;Cold People;2-12-2023;;;
Auke van der Woud;Koninkrijk vol sloppen;20-11-2023;;;
Drew Westen;The Political Brain;10-11-2023;;;
Hella Haasse;Een nieuwer testament;8-11-2023;;;
Shari J. Ryan;De boekhandelaar van Dachau;5-11-2023;;;
Pirrko Saisio;The red book of farewells;4-11-2023;;;
Brad Thor;The lions of Lucerne;30-10-2023;;;
Henry Kissinger;Diplomacy;21-10-2023;;;
Rebecca Makkai;I have some questions for you;19-10-2023;;;
Kluun;Help, ik heb een puber!;18-10-2023;;;
John Hart;Onschuld;14-10-2023;;;
Marion Pauw;Tijgerlelie;12-10-2023;;;
Harold W Coyle;Team Yankee;8-10-2023;;;
Eddy van der Ley;Heldendaad in de Sahara;4-10-2023;;;
Guillermo Arriaga;De Ontembare;27-9-2023;;;
Dan Jones;Power and thrones, a new history of the middle ages;15-9-2023;;;
Suzanne Vermeer;Dwaalspoor;13-9-2023;;;
René van Stipriaan;Ooggetuigen van de Gouden Eeuw;11-9-2023;;;
Marian Rijk;Eeuw in versnelling;9-9-2023;;;
Hella Haasse;Huurders en onderhuurders;7-9-2023;;;
Brad Thor;Dead Fall;4-9-2023;;;
Ken Follet;Eye of the Needle;1-9-2023;;;
Martin Cruz Smith;Gorky Park;28-8-2023;;;
Rob Hartmans;De Schaduwjaren de jaren 30 in Nederland;26-8-2023;;;
Elena Ferante;The story of a new name;20-8-2023;;;
Ad van Liempt;Na de bevrijding, de loodzware jaren 1940-1945;13-8-2023;;;
Gijs Wilbrink;De Beesten;12-8-2023;;;
